character,name,description,ap,sp cost,prerequisite
Gustave,From Fire,Deals medium single target damage. 3 hits.; Uses weapon's element.; Heals self by 20% if the target Burns,4,2,Marking Shot
Gustave,Lumière Assault,Deals low single target damage. 5 hits.; Uses weapon's element.; Critical Hits generate 1 additional Charge,3,,
Gustave,Marking Shot,Deals low single target Lightning damage. 1 hit.; Applies Mark,3,1,Overcharge
Gustave,Overcharge,Deals high single target Lightning damage based on the amount of Charges 1 hit.; Can Break ; Resets Charges,4,,
Gustave,Powerful,"Applies Powerful to 1-3 allies, increasing the damage they deal for 3 turns.; Gives 0 to 2 Charges",3,1,Lumière Assault
Gustave,Recovery,Recovers +50% Health and dispels Status Effects.; Gives 0-2 Charges,3,2,Powerful
Gustave,Shatter,"Deals High Lightning damage to all enemies. 1 hit.; Can Break ; If a target is Broken by the hit, Overcharge is fully Charged",5,6,Recovery
Gustave,Strike Storm,Deals very high single target damage. 6 hits.; Uses weapon's element.; Critical Hits generate 2 additional Charges,7,10,From Fire
Lune,Crippling Tsunami,Deals medium Ice damage to all enemies. 1 hit.; Applies Slow for 3 turns.; Consumes for greatly increased damage.,5,6,Thermal Transfer
Lune,Crustal Crush,Deals high single target Earth and Break damage 5 hits.; Consumes : Increased damage.,7,6,Rockslide
Lune,Earth Rising,Deals low Earth damage to all enemies. 1 hit.; Consumes for increased damage.,3,1,
Lune,Electrify,Deals low single target Lightning damage. 3 hits.; Critical Hits trigger an additional hit.; Consumes to generate one,1,1,Thunderfall
Lune,Elemental Genesis,Deals extreme damage to all enemies. 8 hits.; Each hit deals damage in a random element.; Can only be cast with,4,10,Storm Caller
Lune,Elemental Trick,"Deals low single target Ice, Fire, Lightning, and Earth damage. 4 hits.; Critical Hits generate the corresponding Stain.",3,4,Mayhem
Lune,Fire Rage,Deals increasingly high Fire damage to all enemies every turn until Lune receives damage.; Stuns self if interrupted.; Consumes : Increased damage.,5,6,Wildfire
Lune,Healing Light,Heals the targeted ally by 30-50% Health and dispels Status Effects.; Consumes : Costs 0 AP,3,1,
